Date : 2021-09-13 16:04:03
Directory : c:\Final\源代码\Front_end\best_flutter_ui_templates
Total : 74 files,  8317 codes, 711 comments, 587 blanks, all 9615 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\lib\Login\Vercode.dart                                        | Dart       |        169 |         19 |         12 |        200 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\lib\Login\login.dart                                          | Dart       |        242 |         49 |         21 |        312 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\lib\Login\register.dart                                       | Dart       |        419 |         38 |         24 |        481 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\lib\aboutus.dart                                              | Dart       |         95 |          0 |          4 |         99 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\lib\app_theme.dart                                            | Dart       |         77 |          0 |         13 |         90 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\lib\custom_drawer\drawer_user_controller.dart                 | Dart       |        205 |          9 |         10 |        224 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\lib\custom_drawer\home_drawer.dart                            | Dart       |        332 |         24 |         15 |        371 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\lib\feedback_screen.dart                                      | Dart       |        325 |         65 |         14 |        404 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\lib\fitness_app\announcement\announcement_screen.dart         | Dart       |        146 |          1 |         20 |        167 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\lib\fitness_app\bottom_navigation_view\bottom_bar_view.dart   | Dart       |        356 |          1 |         22 |        379 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\lib\fitness_app\chat_view.dart                                | Dart       |        251 |         12 |         25 |        288 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\lib\fitness_app\fitness_app_home_screen.dart                  | Dart       |        147 |          0 |         13 |        160 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\lib\fitness_app\fitness_app_theme.dart                        | Dart       |         78 |          0 |         12 |         90 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\lib\fitness_app\message\message_screen.dart                   | Dart       |        168 |          0 |         17 |        185 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\lib\fitness_app\message\message_view.dart                     | Dart       |        149 |          1 |          4 |        154 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\lib\fitness_app\message\modify_dialog.dart                    | Dart       |         64 |          4 |          6 |         74 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\lib\fitness_app\message\no_more_message_view.dart             | Dart       |         70 |         15 |          4 |         89 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\lib\fitness_app\models\tabIcon_data.dart                      | Dart       |         45 |          0 |          5 |         50 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\lib\fitness_app\online_test\course_info_screen.dart           | Dart       |        319 |        131 |         14 |        464 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\lib\fitness_app\online_test\design_course_app_theme.dart      | Dart       |         76 |          7 |         12 |         95 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\lib\fitness_app\online_test\models\category.dart              | Dart       |         22 |         18 |          4 |         44 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\lib\fitness_app\online_test\online_test_view.dart             | Dart       |        521 |         10 |         35 |        566 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\lib\fitness_app\online_test\popular_course_list_view.dart     | Dart       |        197 |          3 |         13 |        213 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\lib\fitness_app\online_test\robot_list_view.dart              | Dart       |        284 |          0 |         16 |        300 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\lib\fitness_app\robot\Alert_dialog.dart                       | Dart       |        598 |         63 |         23 |        684 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\lib\fitness_app\robot\Bottom_sheet.dart                       | Dart       |        135 |          2 |          6 |        143 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\lib\fitness_app\robot\buy_times_dialog.dart                   | Dart       |         34 |          3 |          3 |         40 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\lib\fitness_app\robot\my_robot_screen.dart                    | Dart       |        211 |          0 |         31 |        242 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\lib\fitness_app\robot\no_add_dialog.dart                      | Dart       |         34 |          3 |          3 |         40 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\lib\fitness_app\robot\no_more_robot_view.dart                 | Dart       |         79 |          6 |          4 |         89 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\lib\fitness_app\robot\robot_body_view.dart                    | Dart       |        303 |         16 |          6 |        325 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\lib\fitness_app\robot\robot_title_view.dart                   | Dart       |         86 |          0 |          4 |         90 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\lib\fitness_app\ui_view\Announcement_view.dart                | Dart       |        141 |          0 |          3 |        144 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\lib\fitness_app\ui_view\title_view.dart                       | Dart       |         47 |         34 |          4 |         85 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\lib\help_screen.dart                                          | Dart       |        118 |          1 |          6 |        125 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\lib\introduction_animation\components\care_view.dart          | Dart       |        115 |          0 |          6 |        121 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\lib\introduction_animation\components\center_next_button.dart | Dart       |        205 |          0 |          7 |        212 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\lib\introduction_animation\components\mood_diary_vew.dart     | Dart       |        114 |          0 |          6 |        120 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\lib\introduction_animation\components\relax_view.dart         | Dart       |        106 |          0 |          5 |        111 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\lib\introduction_animation\components\splash_view.dart        | Dart       |         85 |          0 |          5 |         90 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\lib\introduction_animation\components\top_back_skip_view.dart | Dart       |         62 |         14 |          6 |         82 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\lib\introduction_animation\components\welcome_view.dart       | Dart       |         90 |          0 |          5 |         95 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\lib\introduction_animation\introduction_animation_screen.dart | Dart       |        110 |          0 |         11 |        121 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\lib\invite_friend_screen.dart                                 | Dart       |        108 |          1 |          4 |        113 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\lib\main.dart                                                 | Dart       |         47 |          0 |          5 |         52 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\lib\navigation_home_screen.dart                               | Dart       |         83 |          2 |          8 |         93 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\lib\reset_sucess.dart                                         | Dart       |         34 |          3 |          3 |         40 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\pubspec.yaml                                                  | YAML       |         49 |         34 |         13 |         96 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\test\widget_test.dart                                         | Dart       |          5 |         20 |          7 |         32 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\web\index.html                                                | HTML       |         79 |         14 |          6 |         99 |
| c:\Final\源代码\Front_end\best_flutter_ui_templates\web\manifest.json                                             | JSON       |         23 |          0 |          1 |         24 |
| Total                                                                                                          |            |      8,317 |        711 |        587 |      9,615 |
+----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
